Date : 2021-06-08 21:41:08
Directory : c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src
Total : 183 files,  5767 codes, 160 comments, 952 blanks, all 6879 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| SCSS             |         38 |      2,339 |        150 |        454 |      2,943 |
| TypeScript React |         37 |      2,096 |          1 |        274 |      2,371 |
| Markdown         |         46 |        607 |          0 |        177 |        784 |
| XML              |         53 |        336 |          3 |          2 |        341 |
| JSON             |          1 |        212 |          0 |          1 |        213 |
| TypeScript       |          8 |        177 |          6 |         44 |        227 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        183 |      5,767 |        160 |        952 |      6,879 |
| assets                                                                                                  |         53 |        336 |          3 |          2 |        341 |
| components                                                                                              |         33 |      1,361 |          1 |        207 |      1,569 |
| components\Accordion                                                                                    |          1 |         40 |          0 |          8 |         48 |
| components\Bar                                                                                          |          1 |         19 |          0 |          4 |         23 |
| components\BarSimple                                                                                    |          1 |         18 |          0 |          3 |         21 |
| components\Breadcrumb                                                                                   |          1 |        101 |          0 |          4 |        105 |
| components\Button                                                                                       |          1 |         14 |          0 |          4 |         18 |
| components\Calendar                                                                                     |          4 |        130 |          0 |         22 |        152 |
| components\Card1                                                                                        |          1 |         33 |          0 |          6 |         39 |
| components\Card2                                                                                        |          1 |         36 |          0 |          5 |         41 |
| components\Card3                                                                                        |          1 |         38 |          0 |          7 |         45 |
| components\Card4                                                                                        |          1 |         25 |          0 |          5 |         30 |
| components\Card5                                                                                        |          1 |         34 |          0 |          5 |         39 |
| components\Card6                                                                                        |          1 |         24 |          0 |          4 |         28 |
| components\Checkbox                                                                                     |          1 |         14 |          0 |          4 |         18 |
| components\CustomArrow                                                                                  |          1 |         20 |          1 |          4 |         25 |
| components\Footer                                                                                       |          1 |         89 |          0 |         10 |         99 |
| components\Form                                                                                         |          1 |         91 |          0 |         15 |        106 |
| components\Header                                                                                       |          2 |        233 |          0 |         22 |        255 |
| components\Input                                                                                        |          1 |         26 |          0 |          6 |         32 |
| components\Input1                                                                                       |          1 |          5 |          0 |          3 |          8 |
| components\InputDate                                                                                    |          1 |         51 |          0 |          8 |         59 |
| components\InputDouble                                                                                  |          1 |         35 |          0 |          8 |         43 |
| components\InputPeople                                                                                  |          2 |        121 |          0 |         14 |        135 |
| components\Layout                                                                                       |          1 |         20 |          0 |          5 |         25 |
